video,pipeline,total_unique_ids,id_discontinuity_events,mean_track_length,max_worms_in_any_single_frame
C:\Users\COCRe\Downloads\dl-worm-tracker\input-vids\Bma - tyramine 1hr - TR1 control.mp4,classical,33,4,223.64,10
C:\Users\COCRe\Downloads\dl-worm-tracker\input-vids\Bma - tyramine 1hr - TR1 control.mp4,yolo,21,3,249.14,7
